Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
68000,1.3716458,-4.689605,21.45945945945946,-18.222227149539524,-18.222227149539524,6.0174737,0.122872226,0.00025945745,0.18648578,0.0043256413,1.0
70000,1.3715347,-4.3875732,29.428571428571427,-18.301595294286333,-18.301595294286333,5.8674526,0.118540734,0.00025859644,0.18619882,0.00431132,1.0
72000,1.3741953,-4.3359275,26.931506849315067,-18.445952589447433,-18.445952589447433,6.1808915,0.1294805,0.00025742291,0.18580762,0.0042918003,1.0
74000,1.3711215,-4.235209,29.223880597014926,-18.17911253402482,-18.17911253402482,7.0791693,0.12997785,0.0002562403,0.18541342,0.0042721294,1.0
76000,1.3687198,-4.1744113,30.873015873015873,-17.906258411705494,-17.906258411705494,6.7066493,0.1398329,0.00025498006,0.18499334,0.004251168,1.0
78000,1.3668196,-3.7652173,34.17857142857143,-17.035724495138442,-17.035724495138442,6.1451535,0.12835678,0.00025381014,0.18460336,0.0042317086,1.0
80000,1.3622332,-3.4620245,36.61538461538461,-18.16982205408924,-18.16982205408924,6.80412,0.120315656,0.00025263784,0.1842126,0.004212209,1.0
82000,1.3598113,-3.6418216,37.92156862745098,-18.50981461768057,-18.50981461768057,6.7147417,0.14124373,0.00025138044,0.18379349,0.0041912943,1.0
84000,1.3613955,-3.7976427,31.55,-17.7166757106781,-17.7166757106781,7.160507,0.13794902,0.0002502087,0.1834029,0.004171804,1.0
86000,1.365605,-3.5740726,35.7,-17.700010681152342,-17.700010681152342,6.3807955,0.12959844,0.00024904194,0.18301398,0.0041523976,1.0
88000,1.3662935,-3.349763,40.39622641509434,-17.566050115621316,-17.566050115621316,6.486225,0.12871683,0.0002477902,0.18259673,0.0041315765,1.0
90000,1.3692282,-3.236079,35.85454545454545,-17.490919668024237,-17.490919668024237,6.228207,0.14067636,0.00024660525,0.18220174,0.004111867,1.0
92000,1.372392,-3.172043,34.9622641509434,-17.226425224880003,-17.226425224880003,6.589922,0.12204358,0.00024542975,0.18180992,0.0040923143,1.0
94000,1.371832,-3.6236882,36.17307692307692,-17.962274407440763,-17.962274407440763,7.242217,0.13504648,0.0002441791,0.18139303,0.004071512,1.0
96000,1.3689171,-3.5310318,37.88461538461539,-18.26924232336191,-18.26924232336191,6.327787,0.1242903,0.00024301177,0.18100391,0.0040520956,1.0
98000,1.3661249,-3.2943559,43.36,-18.764718654108982,-18.764718654108982,7.306409,0.12658635,0.00024183567,0.18061188,0.0040325327,1.0
100000,1.3573035,-3.1168606,41.90909090909091,-18.272739681330595,-18.272739681330595,6.292177,0.1389212,0.00024058056,0.18019351,0.0040116557,1.0
102000,1.3530385,-2.976193,48.47222222222222,-17.91668156782786,-17.91668156782786,6.6315756,0.14769654,0.00023940604,0.17980197,0.0039921203,1.0
104000,1.3484495,-2.7380989,46.97674418604651,-17.90699150395948,-17.90699150395948,7.32717,0.11688386,0.00023822479,0.17940825,0.0039724717,1.0
106000,1.3419086,-2.7571619,43.458333333333336,-17.625012904405594,-17.625012904405594,6.6819973,0.14249735,0.00023697372,0.17899123,0.003951662,1.0
108000,1.3407342,-2.8307433,43.044444444444444,-17.933346695370144,-17.933346695370144,7.0716324,0.13654144,0.00023580073,0.17860022,0.0039321515,1.0
110000,1.3357334,-2.7748573,46.58139534883721,-18.20931645326836,-18.20931645326836,7.002392,0.13359696,0.00023463342,0.17821112,0.003912735,1.0
112000,1.3304968,-3.044306,34.470588235294116,-18.7843235801248,-18.7843235801248,5.963376,0.13868003,0.00023338055,0.1777935,0.0038918955,1.0
114000,1.3283149,-2.7791615,47.26470588235294,-18.441191406810987,-18.441191406810987,7.0049176,0.12802915,0.00023220682,0.17740226,0.0038723724,1.0
116000,1.3244392,-2.5933223,65.35135135135135,-19.675695470861488,-19.675695470861488,7.7418313,0.1269747,0.00023102599,0.17700866,0.0038527315,1.0
118000,1.3229789,-2.9479089,34.745098039215684,-18.076932925444382,-18.076932925444382,6.55626,0.13022459,0.00022976374,0.17658791,0.0038317363,1.0
120000,1.324779,-2.4824007,50.026315789473685,-18.44738389316358,-18.44738389316358,6.976715,0.14782871,0.00022858659,0.17619552,0.003812156,1.0
122000,1.3234452,-2.4431088,50.77777777777778,-17.888904741075304,-17.888904741075304,6.450743,0.13322137,0.00022741311,0.17580435,0.003792637,1.0
